Rank,Company Name,Target summary,Sector (final classification),Region,RE100 (Y/N),Joining year,Target year,"SBT (Y = yes, N=no)",Target status - NT,Target classification NT - temp,"Target year NT (earlier of the two dates if there were two) - if committed, then year set to 2030",Net zero committed (SBTi),SBTi NZ approved year,Commitment date (SBTi),Commitment year (SBTi),"Carbon neutral commitment (C = company, V = value chain, G= Government, S = subsidiary, U = unspecified, x = less than 50% of rev, N=no)",Carbon neutral scope(s) (in their words) (+ indicates two targets/ a later target),Carbon neutral claim (in their words),Carbon neutral commitment - EARLY,Earlier carbon neutral target year,Earlier carbon neutral announcement year,Carbon neutral commitment - LATE,Later carbon neutral target year,Later carbon neutral announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear)",Souce Date,"Net zero commitment (V = value chain, C = company, S = subsidiary, U = unclear, x = less than 50% rev)",Primary net zero scope (in their words),Primary net zero claim (in their words),Net Zero Target - EARLY,Earlier net zero target year,Earlier net zero announcement year,Net Zero Target - LATE,Later net zero target year,Later net zero announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1","Reduction targets for Decarbonization (V = value chain, C = company)",CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - does the company have a voluntary CN or NZ target?,CN/NZ by 2030,CN/NZ by 2050,will use cabon credits,will NOT use carbon credits,any commitment,any commitment already achieved,any commitment by 2030,any commitment by 2050,NZ covering VC already achieved,NZ covering VC 2024-2030,NZ covering VC 2031-2050,Any NZ covering VC
1,Walmart, NZ SBT RE100,Retail,North America,Y,2015,2035,Y,Targets Set,1.5Â°C,2025,No,,01/11/2016,2016,N,,,N,,,,,,,,C,operations,Scope 1 + 2,C,2050,2020,,,,N,,,,,,,,1,1,,1,,1,,,1,1,1,,1,,1,1,,1,1,,,,
2,Amazon, NZ,Retail,North America,N,,,N,Removed,,,No,,01/06/2020,2020,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2040,2019,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
3,State Grid,,Energy and utilities,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Saudi Aramco, NZ,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
5,Sinopec Group,,Oil and gas,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,China National Petroleum,,Oil and gas,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2020,,,,,,I,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Apple,CN SBT RE100,Technology,North America,Y,2016,2021,Y,Targets Set,1.5Â°C,2030,No,,01/05/2021,2021,"C, V","corporate operations, entire value chain",carbon neutrality,C,2020,2020,V,2030,2020,R,2024,N,,,N,,,,,,,,1,,,1,,,,,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,,,,
8,UnitedHealth Group, NZ SBT,Health care and pharmaceuticals,North America,N,,,N,Committed,,2030,Yes,,01/06/2022,2022,N,,,N,,,,,,,,C,operational,Net Zero,C,2035,2022,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
9,Berkshire Hathaway,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CVS Health,CN NZ SBT,Health care and pharmaceuticals,North America,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/10/2021,2021,C,company,carbon neutrality,C,2030,2021,,,,U,2023,"C, V","direct operations, across our value chain",Net Zero Emissions,C,2048,2021,V,2050,2021,U,,,1,,1,,,1,1,,1,,1,,,,,1,1,1,,,1,,1,1,,,1,1
11,Volkswagen,CN SBT,Automotive,Europe,N,,,Y,Targets Set,1.5Â°C/2Â°C,2025,No,,01/04/2022,2022,C,Supply chain ,Net Carbon Neutrality,C,2050,2021,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
12,Exxon Mobil, NZ,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2050,2022,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
13,Shell, NZ,Oil and gas,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 + 2 + 3 (partially),Net Zero,C,2050,2020,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
14,China State Construction Engineering,CN,Engineering and construction,Asia,N,,,N,,,,,,,,C,the group,carbon neutrality,C,2050,2021,,,,U,2023,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
15,Toyota Motor,CN SBT,Automotive,Asia,N,,,Y,Targets Set,1.5Â°C/Well-below 2Â°C,2030,No,,01/11/2022,2022,V,"scope 1, 2, 3 (all categories)",carbon neutrality,V,2050,2024,,,,Y,2024,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
16,McKesson, SBT,Retail,North America,N,,,Y,Targets Set,1.5Â°C,2032,No,,01/01/2023,2023,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,
17,Alphabet, NZ SBT,Technology,North America,N,,,N,Committed,,2030,No,,01/09/2022,2022,N,,,N,,,,,,,,V,operations and value chain,Net Zero,V,2030,2020,,,,Y,,,,,,,1,,1,,1,,1,,,,,1,,1,1,,1,,1,1,,1,,1
18,Cencora, SBT,Retail,North America,N,,,Y,Targets Set,1.5Â°C,2026,No,,01/11/2023,2023,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
19,Trafigura Group,CN,Financial services,Asia,N,,,N,,,,,,,,C,operational Scope 1 and 2 ,carbon neutrality,C,2050,2022,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
20,Costco Wholesale,,Retail,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,JPMorgan Chase,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,operations,carbon neutrality,C,2020,2020,,,,Y,2023,C,"operations (scope 1, 2, plus business travel) ",Net Zero ,C,2050,2022,,,,Y,V,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,,
22,Industrial & Commercial Bank of China,,Financial services,Asia,N,,,N,,,,,,,,G,the bank,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,TotalEnergies,CN,Oil and gas,Europe,N,,,N,,,,,,,,"C, V","Scope 1+2, operations worldwide from production to the use of the energy products sold to its customers","offsetting residual emissions, carbon neutrality (uses net-zero also)",C,2030,2020,V,2050,2020,Y,2024,I,,,I,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,,
24,Glencore, NZ,Metals and mining,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,V,"scope 1, 2 and 3",Net Zero industrial emissions,V,2050,2020,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
25,BP, NZ,Oil and gas,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,V,"operations, production, and sold energy products",Net Zero,V,2050,2020,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
26,Microsoft,CN SBT RE100,Technology,North America,Y,2015,2014,Y,Targets Set,1.5Â°C,2030,No,,01/09/2019,2019,C,"operational, supply chain","carbon neutral, carbon negative",C,2012,2012,C,2030,2020,Y,2024,N,,,N,,,,,,,Y,1,,,1,,,,,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,,,,
27,Cardinal Health, SBT,Retail,North America,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/03/2024,2024,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
28,Stellantis, NZ,Automotive,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,V,all scopes,carbon Net Zero,V,2038,2022,,,,Y,Y,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
29,Chevron, NZ,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,upstream scope 1 and 2,Net Zero,C,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
30,China Construction Bank,,Financial services,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Samsung Electronics, NZ RE100,Industrial goods,Asia,Y,2022,2050,N,,,,,,,,N,,,N,,,,,,,,C,(Scope 1 & Scope 2) for all operations,Net Zero carbon emissions,C,2050,2022,,,,U,,,,,,,,1,1,,,,,,,1,1,1,,1,,,1,,,1,,,,
32,Hon Hai Precision Industry, NZ SBT,Industrial goods,Asia,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/05/2024,2024,N,,,N,,,,,,,,V,value chain,Net Zero emissions,V,2050,2020,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
33,Cigna,CN SBT RE100,Health care and pharmaceuticals,North America,Y,2022,2030,N,Committed,,2030,No,,01/05/2024,2024,C,Scope 1 and 2 GHG emissions,carbon neutrality ,C,2040,2021,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,,
34,Agricultural Bank of China,,Financial services,Asia,N,,,N,,,,,,,,G,operations,carbon neutrality,G,2060,2023,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,China Railway Engineering Group,,Engineering and construction,Asia,N,,,N,,,,,,,,G,company,carbon neutrality ,G,2060,2022,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Ford Motor,CN SBT,Automotive,North America,N,,,Y,Targets Set,1.5Â°C/Well-below 2Â°C,2035,Yes,,01/03/2021,2021,V,"three areas that account for approximately 95% of our carbon emissions: our vehicles, operations and supply chain",carbon neutrality ,V,2050,2020,,,,Y,,N,,,N,,,,,,,Y,,,1,1,,,,,,,1,1,,,,,1,,1,1,,1,,,1,,,,
37,Bank of China,CN,Financial services,Asia,N,,,N,,,,,,,,C,undefined,carbon neutrality,C,2030,2021,,,,U,2023,N,,,N,,,,,,,N,,1,,1,,,,,,,,,,,,,1,1,1,,,1,,1,1,,,,
38,Bank of America,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,undefined,carbon neutral,C,2020,2016,,,,Y,2022,"V, F","Scope 1, 2 and 3","Net Zero
",V,2030,2021,F,2050,2021,U,,1,,,1,,1,,1,,,,,,,,,1,1,1,1,,1,1,1,1,,1,,1
39,General Motors,CN SBT RE100,Automotive,North America,Y,2016,2035,Y,Targets Set,1.5Â°C/Well-below 2Â°C,2035,Yes,,01/05/2021,2021,C,global products and operations,carbon neutral,C,2040,2021,,,,U,,N,,,N,,,,,,,C,,,1,1,,,,,,,1,1,,,1,1,1,,1,,,1,,,1,,,,
40,Elevance Health,CN NZ RE100,Health care and pharmaceuticals,North America,Y,2019,2025,N,,,,,,,,C,operations,carbon neutral,C,2021,2021,,,,U,2023,C,direct operations,Net Zero emissions,C,2050,2022,,,,U,C,1,,,1,,,1,1,,,,,,1,,1,1,1,1,,,1,1,1,1,,,,
41,BMW Group,CN NZ SBT RE100,Automotive,Europe,Y,2015,2050,Y,Targets Set,1.5Â°C/Well-below 2Â°C,2030,Yes,,01/02/2022,2022,F,asset portfolio,carbon neutrality,F,2050,2020,,,,Y,,V,entire value chain,Net Zero,V,2050,2022,,,,U,C,,,1,1,,,1,1,,1,,1,,,1,1,1,,1,1,,1,,1,1,,,1,1
42,Mercedes-Benz Group,CN SBT,Automotive,Europe,N,,,Y,Targets Set,1.5Â°C/Well-below 2Â°C,2030,Yes,,01/11/2019,2019,"C, V","scope 1 and 2 at production plants, entire value chain",net carbon-neutral,C,2022,2019,V,2039,2019,Y,2023,N,,,N,,,,,,,V,1,,,1,,,,,,1,,1,,,,,1,1,1,1,,1,1,1,1,,,,
43,China Railway Construction,,Engineering and construction,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,China Baowu Steel Group,CN,Metals and mining,Asia,N,,,N,,,,,,,,C,undefined,carbon neutrality ,C,2050,2020,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
45,Citigroup, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,"C, F","operations, financing",Net Zero emissions,C,2030,2021,F,2050,2021,Y,,,,,,,1,,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1
46,Centene,,Health care and pharmaceuticals,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,JD.com,,Retail,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Home Depot, SBT RE100,Retail,North America,Y,2021,2030,Y,Targets Set,1.5Â°C,2030,No,,01/03/2024,2024,N,,,N,,,,,,,,N,,,N,,,,,,,V,,,,,,,,,,1,,1,,1,,1,,,,,,1,,1,1,,,,
49,Electricite de France, NZ SBT,Energy and utilities,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/12/2020,2020,N,,,N,,,,,,,,V,all three scopes,Net Zero emissions,V,2050,2018,,,,U,V,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
50,Marathon Petroleum,,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Kroger,,Retail,North America,N,,,N,Removed,,,No,,01/06/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Phillips 66,,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Ping An Insurance,CN,Financial services,Asia,N,,,N,,,,,,,,C,operations ,carbon neutrality ,C,2030,2021,,,,Y,2023,N,,,N,,,,,,,N,,1,,1,,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,,
54,Sinochem Holdings,,Chemicals,Asia,N,,,N,,,,,,,,G,operations,carbon neutral,G,2060,2022,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,China Mobile Communications,,Telecommunications and media,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,China National Offshore Oil,CN,Metals and mining,Asia,N,,,N,,,,,,,,C,undefined,carbon neutrality ,C,2050,2022,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
57,Honda Motor,CN,Automotive,Asia,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",carbon neutrality ,V,2050,2021,,,,U,,I,,,I,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
58,Fannie Mae,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,China Life Insurance,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Walgreens Boots Alliance, NZ,Retail,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,"C, V","Scope 1 and 2, scope 3",Net Zero,C,2035,2021,V,2040,2021,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
61,Valero Energy,CN,Oil and gas,North America,N,,,N,,,,,,,,"C, V","scope 1 and 2, scope 1, 2, 3, and 4",100% reduced or displaced,C,2035,2020,V,2050,2021,Y,2022,I,,,I,,,,,,,Y,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
62,Banco Santander,CN NZ,Financial services,Europe,N,,,N,,,,,,,,C,own operations,carbon neutral,C,2020,2019,,,,Y,2022,"C, F","our operations, portfolios",Net Zero,C,2050,2021,F,2050,2021,Y,,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,1
63,China Communications Construction,,Engineering and construction,Asia,N,,,N,,,,,,,,G,global products and operations,carbon neutral,G,2060,2023,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,BNP Paribas,CN SBT,Financial services,Europe,N,,,N,Committed,,2030,No,,01/04/2016,2016,F,account credit and investment activities,carbon neutrality,F,2050,2015,,,,Y,,I,,,I,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
65,Mitsubishi, NZ,Industrial goods,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,scope 1 and Scope 2 emissions of MC and its consolidated companies,Net Zero,C,2050,2021,,,,Y,Y,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
66,Meta Platforms, NZ SBT RE100,Technology,North America,Y,2016,2020,Y,Targets Set,1.5Â°C,2031,Yes,,01/02/2024,2024,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1, 2 and 3",Net Zero,C,2020,2020,V,2030,2021,Y,,,,,,1,,,1,,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,1,,1
67,HSBC Holdings, NZ RE100,Financial services,Europe,Y,2017,2030,N,,,,,,,,N,,,N,,,,,,,,"C, F","own operations and supply chain, financed emissions",Net Zero,C,2030,2020,F,2050,2020,Y,,,,,,,1,,1,,,,,,1,,1,1,1,1,1,,1,,1,1,,,1,1
68,Verizon Communications, NZ SBT RE100,Telecommunications and media,North America,Y,2024,2030,Y,Targets Set,1.5Â°C,2035,No,,01/04/2021,2021,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2035,2019,,,,U,,,,,,,,1,1,,,1,1,,1,,1,1,,1,,,1,,1,1,,,,
69,China Minmetals,,Metals and mining,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2022,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Alibaba Group Holding,CN SBT,Retail,Asia,N,,,N,Committed,,2030,Yes,,01/12/2021,2021,C,operations,carbon neutrality ,C,2030,2021,,,,Y,2023,N,,,N,,,,,,,,,1,,1,,,,,,1,,1,,,,,1,1,1,1,,1,,1,1,,,,
71,CITIC Group,,Financial services,Asia,N,,,N,,,,,,,,G,undefined,Carbon Neutrality,G,2060,2022,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,China Resources,,Health care and pharmaceuticals,Asia,N,,,N,,,,,,,,G,company,carbon neutrality,G,2060,2023,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Hyundai Motor,CN RE100,Automotive,Asia,Y,2022,2045,N,,,,,,,,V,"Scope 1, 2 and 3",carbon neutral,V,2045,2021,,,,Y,,I,,,I,,,,,,,,,,1,1,,,,,,,,,,,1,1,1,,1,1,,1,,,1,,,,
74,AT&T,CN SBT,Telecommunications and media,North America,N,,,Y,Targets Set,1.5Â°C,2024,No,,01/03/2020 00:00,2020,C,"entire global
operations",carbon neutral ,C,2035,2018,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
75,Shandong Energy Group,,Metals and mining,Asia,N,,,N,,,,,,,,G,group's operational level,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
