Rank,Company Name,Target summary,Sector (final classification),Region,RE100 (Y/N),Joining year,Target year,"SBT (Y = yes, N=no)",Target status - NT,Target classification NT - temp,"Target year NT (earlier of the two dates if there were two) - if committed, then year set to 2030",Net zero committed (SBTi),SBTi NZ approved year,Commitment date (SBTi),Commitment year (SBTi),"Carbon neutral commitment (C = company, V = value chain, G= Government, S = subsidiary, U = unspecified, x = less than 50% of rev, N=no)",Carbon neutral scope(s) (in their words) (+ indicates two targets/ a later target),Carbon neutral claim (in their words),Carbon neutral commitment - EARLY,Earlier carbon neutral target year,Earlier carbon neutral announcement year,Carbon neutral commitment - LATE,Later carbon neutral target year,Later carbon neutral announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear)",Souce Date,"Net zero commitment (V = value chain, C = company, S = subsidiary, U = unclear, x = less than 50% rev)",Primary net zero scope (in their words),Primary net zero claim (in their words),Net Zero Target - EARLY,Earlier net zero target year,Earlier net zero announcement year,Net Zero Target - LATE,Later net zero target year,Later net zero announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1","Reduction targets for Decarbonization (V = value chain, C = company)",CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - does the company have a voluntary CN or NZ target?,CN/NZ by 2030,CN/NZ by 2050,will use cabon credits,will NOT use carbon credits,any commitment,any commitment already achieved,any commitment by 2030,any commitment by 2050,NZ covering VC already achieved,NZ covering VC 2024-2030,NZ covering VC 2031-2050,Any NZ covering VC
76,Comcast,CN SBT,Telecommunications and media,North America,N,,,N,Committed,,2030,No,,01/01/2023,2023,C,Scope 1 and 2,carbon neutral,C,2035,2021,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,,,1,,1,1,,,,
77,Deutsche Telekom,CN NZ SBT RE100,Telecommunications and media,Europe,Y,2019,2021,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/02/2024,2024,C,in-house emissions,climate neutrality,C,2025,2019,,,,R,2024,V,"Scope 1, 2 and 3","Net Zero
",V,2040,2021,,,,Y,,,1,,1,,,1,1,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,,,1,1
78,China Southern Power Grid,,Energy and utilities,Asia,N,,,N,,,,,,,,G,groups,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Uniper,CN,Energy and utilities,Europe,N,,,N,,,,,,,,"C, V","1,2 + 1,2,3",carbon neutrality,C,2035,2023,V,2040,2023,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
80,Wells Fargo,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,"Scope 1 and 2 of our operational 
GHG emissions",purchase carbon removal credits for,C,2019,2019,,,,R,2023,C,Scope 1 and 2,Net Zero,C,2050,2021,,,,Y,,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,,
81,Hengli Group,,Household and personal products,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Allianz,CN NZ RE100,Financial services,Europe,Y,2018,2023,N,,,,,,,,C,operations,carbon neutral,C,2012,2019,,,,Y,2022,F,Investment Portfolio,Net Zero,F,2050,2020,,,,R,,1,,,1,,,1,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,,,1,1
83,China Post Group,,Transportation and logistics,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,China Energy Investment,,Metals and mining,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2022,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Xiamen C&D,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Reliance Industries, NZ,Oil and gas,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2  ,"Net Carbon Zero
",C,2035,2022,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
87,Goldman Sachs Group,CN NZ RE100,Financial services,North America,Y,2015,2021,N,,,,,,,,C,operations and business travel,carbon neutral,C,2015,2015,,,,Y,2023,C,operations and supply chain,Net Zero carbon emissions,C,2030,2021,,,,U,,1,,,1,,1,,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,,,,
88,Freddie Mac,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Rosneft Oil,CN,Oil and gas,Europe,N,,,N,,,,,,,,C,operations,operational carbon neutrality,C,2050,2021,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
90,Target, NZ SBT RE100,Retail,North America,Y,2019,2030,Y,Targets Set,2Â°C,2023,Yes,,01/03/2019,2019,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2040,2021,,,,Y,,,,,,,,1,1,1,,,1,,1,,1,1,,1,1,,1,1,1,1,,,1,1
91,Equinor,CN NZ,Oil and gas,Europe,N,,,N,,,,,,,,C,operations,carbon neutral,C,2030,2020,,,,U,2024,V,from production and final consumption of energy,Net-Zero energy company,V,2050,2020,,,,U,U,,1,,1,,,1,1,,,,,,,,,1,1,1,,,1,,1,1,,,1,1
92,Humana, SBT,Health care and pharmaceuticals,North America,N,,,Y,Targets Set,1.5Â°C,2032,No,,01/12/2023,2023,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,
93,SAIC Motor,,Automotive,Asia,N,,,N,,,,,,,,G,undefined,Carbon Neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,State Farm Insurance,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Life Insurance Corp. of India,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Nestle, NZ SBT RE100,"Food, beverages and agriculture",Europe,Y,2014,2025,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/12/2023,2023,N,,,N,,,,,,,,V,"Scope 1, 2 and partial 3 to cover 90% of total emissions",Net Zero,V,2050,2020,,,,Y,,,,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,1,1
97,Enel, NZ SBT,Energy and utilities,Europe,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/02/2023,2023,N,,,N,,,,,,,,V,direct and indirect emissions,Net-Zero ,V,2040,2021,,,,Y,V,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
98,ENI,CN NZ,Oil and gas,Europe,N,,,N,,,,,,,,V,products and industrial processes - lifecycle of energy products,carbon neutrality,V,2050,2021,,,,Y,,"C, V","Eni (SCOPE 1+2),  (SCOPE 1+2+3)",Net Zero,C,2035,2020,V,2050,2020,Y,N,,,1,1,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
99,Petrobras,CN,Oil and gas,Latin America,N,,,N,,,,,,,,C,all products and corporate activities,neutralize emissions,C,2050,2022,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
100,SK,CN,Oil and gas,Asia,N,,,N,,,,,,,,C,group,net-zero greenhouse gas emissions,C,2050,2021,,,,Y,,I,,,I,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
101,E.ON,CN SBT,Energy and utilities,Europe,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/05/2022,2022,"C, V","Scope 1 and 2, Scope 3",Climate Neutral,C,2040,2022,V,2050,2022,Y,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
102,Gazprom,,Oil and gas,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Huawei Investment & Holding,,Telecommunications and media,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Societe Generale,CN,Financial services,Europe,N,,,N,,,,,,,,F,indirect emissions of our oil & gas credit portfolio ,carbon neutral,F,2050,2021,,,,Y,,I,,,I,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
105,Bosch Group,CN,Automotive,Europe,N,,,N,,,,,,,,C,scope 1 & 2,carbon neutral,C,2020,2019,,,,Y,2023,N,,,N,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,,,,
106,COFCO, SBT,Financial services,Asia,N,,,Y,Targets Set,1.5Â°C,2033,No,,01/06/2024,2024,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,
107,Itochu, NZ,Financial services,Asia,N,,,N,,,,,,,,I,,,I,,,,,,,,V,"Scope 1/2/3 (consolidated subsidiaries), fossil fuel business and 
interests (consolidated subsidiaries, equity, general investments)",Net Zero GHG emissions,V,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
108,PowerChina,,Engineering and construction,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2022,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Pemex, NZ,Metals and mining,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2  ,Net Zero,C,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
110,Tesla, SBT,Automotive,North America,N,,,N,Committed,,2030,No,,01/10/2021,2021,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
111,Morgan Stanley,CN NZ RE100,Financial services,North America,Y,2017,2022,N,,,,,,,,C,global operations,carbon neutrality,C,2022,2017,,,,U,2022,F,financed emissions,Net-Zero,F,2050,2020,,,,Y,,1,,,1,,,1,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,,,1,1
112,Sinopharm,,Health care and pharmaceuticals,Asia,N,,,N,,,,,,,,G,undefined,Carbon Neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Brookfield, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,F,assets we manage,Net Zero emissions,F,2050,2022,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
114,Royal Ahold Delhaize, NZ SBT,Retail,Europe,N,,,Y,Targets Set,1.5Â°C,2030,Yes,,01/08/2020,2020,N,,,N,,,,,,,,"C, V","operations (scope 1 and 2), value chain (scope 3)",Net-Zero,C,2040,2021,V,2050,2021,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
115,Johnson & Johnson,CN NZ SBT RE100,Health care and pharmaceuticals,North America,Y,2015,2025,Y,Targets Set,1.5Â°C,2030,No,,01/04/2024,2024,C,operations,carbon neutrality,C,2030,2020,,,,U,2024,V,across our value chain,Net-Zero emissions,V,2045,2021,,,,U,,,1,,1,,,1,1,,1,,1,,1,,1,1,1,1,,,1,,1,1,,,1,1
116,Indian Oil, NZ,Oil and gas,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,operational emissions,Net Zero,C,2046,2022,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
117,Archer Daniels Midland, SBT,"Food, beverages and agriculture",North America,N,,,N,Committed,,2030,No,,01/04/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
118,Credit Agricole,CN SBT RE100,Financial services,Europe,Y,2016,2030,N,Committed,,2030,No,,01/05/2016,2016,C+F,scope 1 and 2 and investment sectors,carbon neutrality,C+F,2050,2022,,,,Y,,N,,,N,,,,,,,Y,,,1,1,,,,,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,,
119,Christian Dior,,Household and personal products,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Nippon Telegraph and Telephone,CN,Telecommunications and media,Asia,N,,,N,,,,,,,,C,group,carbon neutrality,C,2040,2021,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
121,Mitsui,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Carrefour,CN SBT,Retail,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/06/2020,2020,C,direct emissions,carbon neutrality,C,2040,2021,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,,,1,,1,1,,,,
123,PepsiCo, NZ SBT RE100,"Food, beverages and agriculture",North America,Y,2020,2040,Y,Targets Set,1.5Â°C,2030,Yes,,01/01/2021,2021,N,,,N,,,,,,,,V,value chain,Net-Zero emissions,V,2040,2021,,,,R,Y,,,,,,,1,1,,1,,1,,,1,1,1,,1,1,,1,,1,1,,,1,1
124,United Parcel Service,CN,Transportation and logistics,North America,N,,,N,,,,,,,,V,"scope 1, 2 and 3 emissions.",carbon neutrality,V,2050,2021,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
125,PTT,CN NZ,Oil and gas,Asia,N,,,N,,,,,,,,C,undefined,carbon neutral,C,2040,2021,,,,U,2023,C,undefined,Net Zero,C,2050,2021,,,,Y,,,,1,1,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
126,AXA,CN NZ SBT RE100,Financial services,Europe,Y,2017,2025,N,Committed,,2030,No,,01/06/2015,2015,"C, V","operations, Scope 3 business travel, IT equipment manufacturing and 
purchased services, and upstream energy emissions",carbon neutral,C,2020,2020,V,2025,2020,Y,2024,F,insurance and reinsurance underwriting portfolios,Net-Zero greenhouse gas emissions,F,2050,2023,,,,U,,1,,,1,,,1,1,,1,,1,,1,,1,1,1,1,1,,1,1,1,1,,,1,1
127,FedEx,CN,Transportation and logistics,North America,N,,,N,,,,,,,,C,global operations,carbon neutral,C,2040,2023,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
128,Sony, NZ SBT RE100,Industrial goods,Asia,Y,2018,2030,Y,Targets Set,1.5Â°C,2025,Yes,2040,01/09/2022,2022,I,,,I,,,,,,,,"C, V","Scope 1 and 2, Scope 3",Net Zero,C,2030,2022,V,2040,2022,U,,,,,,,1,,1,,1,,1,,1,,1,1,1,1,,,1,,1,1,,,1,1
129,China FAW Group,,Automotive,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2022,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Engie, NZ SBT,Energy and utilities,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/03/2023,2023,N,,,N,,,,,,,,V,"Scope 1, 2 and 3","Net Zero Carbon
",V,2045,2021,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
131,Walt Disney, NZ SBT,Telecommunications and media,North America,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/11/2023,2023,N,,,N,,,,,,,,C  ,Scope 1 and 2,Net Zero,C  ,2030,2022,,,,Y,,,,,,,1,,1,,1,,1,,,,,1,1,1,1,,1,,1,1,,,,
132,Orlen, NZ,Oil and gas,Europe,N,,,N,,,,,,,,I,,,I,,,,,,,,V,"Scope1, 2 and 3",Net Zero,V,2050,2021,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
133,Dell Technologies, NZ SBT RE100,Technology,North America,Y,2019,2040,Y,Targets Set,1.5Â°C,2031,Yes,,01/01/2023,2023,N,,,N,,,,,,,,V,"scopes 1, 2 and 3",Net Zero greenhouse gas emissions,V,2050,2021,,,,Y,,,,,,,,1,1,,,1,1,,,1,1,1,,1,1,,1,,,1,,,1,1
134,DHL Group, NZ SBT,Transportation and logistics,Europe,N,,,Y,Targets Set,1.5°C,2030,Yes,,01/08/2021,2021,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2050,2017,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,,
135,China Telecommunications,,Telecommunications and media,Asia,N,,,N,,,,,,,,G,company,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Nissan Motor,CN SBT,Automotive,Asia,N,,,Y,Targets Set,Well-below 2Â°C/Well-below 2Â°C,2030,Yes,,01/08/2021,2021,V,Company operations and product life cycle,Carbon Neutral ,V,2050,2021,,,,Y,,I,,,I,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
137,Royal Bank of Canada,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,operations,carbon neutral,C,2017,2017,,,,Y,2022,F,lending,Net-Zero,F,2050,2021,,,,Y,,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,1
138,Zhejiang Rongsheng Holding Group,,Chemicals,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Lowe's, NZ SBT,Retail,North America,N,,,N,Committed,,2030,Yes,,01/04/2022,2022,N,,,N,,,,,,,,V,"scopes 1, 2 and 3 ",Net-Zero emissions,V,2050,2022,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
140,Tesco,CN NZ SBT RE100,Retail,Europe,Y,2017,2030,Y,Targets Set,1.5Â°C,2032,Yes,2050,01/08/2023,2023,C,Group operations,Carbon Neutral ,C,2035,2021,,,,Y,,V,"Scope 1, 2 and 3",Net Zero,V,2050,2021,,,,Y,,,,1,1,,,1,1,,,1,1,,1,,1,1,,1,1,,1,,1,1,,,1,1
141,Tencent Holdings,CN SBT,Technology,Asia,N,,,Y,Targets Set,1.5Â°C,2030,Yes,,01/05/2023,2023,C,operations & supply chain,carbon neutral,V,2030,2022,,,,Y,2022,N,,,N,,,,,,,,,1,,1,,,,,,1,,1,,,,,1,1,1,1,,1,,1,1,,,,
142,Xiamen ITG Holding Group,,Financial services,Asia,N,,,N,,,,,,,,G,undefined,Carbon Neutrality,G,2060,2021,,,,,,I,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,BYD, SBT,Automotive,Asia,N,,,N,Committed,,2030,Yes,,01/08/2024,2024,G,company,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,Y,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
144,Nippon Life Insurance, NZ RE100,Financial services,Asia,Y,2024,2040,N,,,,,,,,N,,,N,,,,,,,,C,own emissions and that of its investees,Net Zero emissions,C,2050,2020,,,,U,Y,,,,,,,1,1,,,,,,,1,1,1,,1,,,1,,,1,,,,
145,Siemens,CN NZ SBT RE100,Industrial goods,Europe,Y,2021,2030,Y,Targets Set,1.5Â°C,2030,Yes,,01/02/2021,2021,C,undefined,carbon neutral,C,2030,2015,,,,Y,2023,"C, V","Scope 1 and 2, Scope1, 2 and 3",Net Zero,C,2030,2022,V,2050,2022,Y,,,1,,1,,1,,1,,1,,1,,1,,1,1,1,1,1,,1,,1,1,,,1,1
146,Japan Post Holdings,CN,Financial services,Asia,N,,,N,,,,,,,,C,own greenhouse gas emissions,carbon neutrality ,C,2050,2021,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
147,Aviation Industry Corp. of China, NZ,Aerospace and defense,Asia,N,,,N,,,,,,,,I,,,I,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
148,Mitsubishi UFJ Financial Group, NZ,Financial services,Asia,N,,,N,,,,,,,,I,,,I,,,,,,,,"C, F","operations, finance portfolio",Net Zero GHG emission,C,2030,2021,F,2050,2021,Y,,,,,,,1,,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1
149,Procter & Gamble,CN NZ SBT RE100,Household and personal products,North America,Y,2015,2030,Y,Targets Set,1.5Â°C,2030,No,,01/11/2023,2023,C,global operations,carbon neutral,C,2020,2020,,,,Y,2023,V,"Scope 1, 2 and 3",Net Zero,V,2040,2021,,,,Y,,1,,,1,,,1,1,,1,,1,,1,,1,1,1,1,1,,1,1,1,1,,,1,1
150,Wuchan Zhongda Group,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Seven & I Holdings, NZ RE100,Retail,Asia,Y,2020,2050,N,Removed,,,No,,01/03/2021,2021,N,,,N,,,,,,,,C,group store operations,Net Zero emissions,C,2050,2019,,,,U,,,,,,,,1,1,,,,,,,1,1,1,,1,,,1,,,1,,,,
152,Albertsons, NZ SBT,Retail,North America,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/04/2022,2022,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2040,2022,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
153,ENEOS Holdings,CN,Oil and gas,Asia,N,,,N,,,,,,,,"C, V","Scope 1 and Scope 2, Scope 3",Carbon Neutrality,C,2040,2020,V,2050,2020,Y,,I,,,I,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
154,Bank of Communications,,Financial services,Asia,N,,,N,,,,,,,,G,Scope 1 and 2,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Energy Transfer,,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,U.S. Postal Service,,Transportation and logistics,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Jiangxi Copper,,Metals and mining,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,People's Insurance Co. of China,,Financial services,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Boeing,CN,Aerospace and defense,North America,N,,,N,,,,,,,,C,scope 1 and 2 GHG emissions,mitigated,C,2020,2020,,,,Y,2024,N,,,N,,,,,,,C,1,,,1,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,,,,
