Rank,Company Name,Target summary,Sector (final classification),Region,RE100 (Y/N),Joining year,Target year,"SBT (Y = yes, N=no)",Target status - NT,Target classification NT - temp,"Target year NT (earlier of the two dates if there were two) - if committed, then year set to 2030",Net zero committed (SBTi),SBTi NZ approved year,Commitment date (SBTi),Commitment year (SBTi),"Carbon neutral commitment (C = company, V = value chain, G= Government, S = subsidiary, U = unspecified, x = less than 50% of rev, N=no)",Carbon neutral scope(s) (in their words) (+ indicates two targets/ a later target),Carbon neutral claim (in their words),Carbon neutral commitment - EARLY,Earlier carbon neutral target year,Earlier carbon neutral announcement year,Carbon neutral commitment - LATE,Later carbon neutral target year,Later carbon neutral announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear)",Souce Date,"Net zero commitment (V = value chain, C = company, S = subsidiary, U = unclear, x = less than 50% rev)",Primary net zero scope (in their words),Primary net zero claim (in their words),Net Zero Target - EARLY,Earlier net zero target year,Earlier net zero announcement year,Net Zero Target - LATE,Later net zero target year,Later net zero announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1","Reduction targets for Decarbonization (V = value chain, C = company)",CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - does the company have a voluntary CN or NZ target?,CN/NZ by 2030,CN/NZ by 2050,will use cabon credits,will NOT use carbon credits,any commitment,any commitment already achieved,any commitment by 2030,any commitment by 2050,NZ covering VC already achieved,NZ covering VC 2024-2030,NZ covering VC 2031-2050,Any NZ covering VC
160,China North Industries Group,,Aerospace and defense,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Pacific Construction Group,,Engineering and construction,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Kia, NZ RE100,Automotive,Asia,Y,2022,2040,N,,,,,,,,I,,,I,,,,,,,,V,"all stages from supply and manufacturing to logistics, use, and disposal",Net Zero emissions,V,2045,2019,,,,Y,,,,,,,,1,1,,,,,,,1,1,1,,1,1,,1,,,1,,,1,1
163,Sysco, SBT,Retail,North America,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/08/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
164,Dai-ichi Life Holdings, NZ,Financial services,Asia,N,,,N,,,,,,,,I,,,I,,,,,,,,V,"operations (scope 1, 2, and 3 eclu. Cat.15) and investment portfolio (scope 3 cat. 15)",Net Zero,V,2050,2021,,,,U,Y,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
165,Pertamina,,Oil and gas,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,G,Scope 1 and 2  ,Net Zero,G,2060,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Vinci,CN SBT,Engineering and construction,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/04/2022,2022,C,direct scope of business activities,carbon neutrality,C,2050,2020,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
167,Petronas, NZ,Oil and gas,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and Scope 2,Net Zero,C,2050,2020,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
168,Toronto-Dominion Bank,CN NZ RE100,Financial services,North America,Y,2016,2017,N,,,,,,,,C,"1,2 + some of 3",became carbon neutral,C,2010,2010,,,,Y,2023,C,"Scope 1, 2 and 3",Net Zero,C,2050,2019,,,,Y,,1,,,1,,,1,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,,,,
169,Lukoil, NZ,Oil and gas,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Net-Zero greenhouse gas emissions,C,2050,2023,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
170,Shaanxi Coal & Chemical Industry,,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Shenghong Holding Group,,Chemicals,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,BASF, NZ,Chemicals,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,C,"scope 1, 2, and 3.1 (partial scope 3)",Net-Zero CO2Â emissions,C,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
173,China Poly Group,,Real estate,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Groupe BPCE,CN,Financial services,Europe,N,,,N,,,,,,,,F,"financing, proprietary investment, and insurance portfolios",carbon neutrality,F,2050,2021,,,,Y,,I,,,I,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
175,Shandong Weiqiao Pioneering Group, NZ,Household and personal products,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,own operations,Net Zero emissions,C,2055,2022,,,,U,N,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,
176,JBS, NZ,"Food, beverages and agriculture",Latin America,N,,,N,Removed,,,No,,01/06/2021,2021,N,,,N,,,,,,,,V,operations and value chain,Net Zero ghg emissions,V,2040,2021,,,,Y,Y,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
177,Alimentation Couche-Tard,CN,Retail,North America,N,,,N,,,,,,,,C,scope 1 and 2,carbon neutral,C,2030,2024,,,,Y,2024,N,,,N,,,,,,,Y,,1,,1,,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,,
178,State Bank of India,CN NZ,Financial services,Asia,N,,,N,,,,,,,,C,Scope 1 and 2,Carbon Neutral,C,2030,2018,,,,Y,2024,V,"Scope 1, 2 and 3",Net Zero,V,2055,2024,,,,U,,,1,,1,,,,1,,,,,,,,,1,1,1,1,,1,,1,1,,,,1
179,China Merchants Bank,,Financial services,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Oil & Natural Gas,,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Guangzhou Automobile Industry Group,CN,Automotive,Asia,N,,,N,,,,,,,,C,undefined,Carbon Neutrality,C,2050,2021,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
182,UBS Group, NZ RE100,Financial services,Europe,Y,2015,2025,N,,,,,,,,N,,,N,,,,,,,,C,"scope 1 and 2, and specified scope 3 activities",Net Zero,C,2050,2022,,,,Y,,,,,,,,1,1,,,,,,1,,1,1,,1,1,,1,,1,1,,,,
183,Airbus, NZ SBT,Aerospace and defense,Europe,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/02/2023,2023,N,,,N,,,,,,,,C,undefined,Net Zero,C,2050,2020,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
184,Toyota Tsusho, NZ SBT,Financial services,Asia,N,,,N,Committed,,2030,No,,01/09/2023,2023,I,,,I,,,,,,,,C,scope 1 and 2,carbon neutrality (but more in line with NZ definition),C,2050,2021,,,,R,Y,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
185,Zhejiang Geely Holding Group,CN,Automotive,Asia,N,,,N,,,,,,,,"C, V","operations, entire value chain",carbon neutrality,C,2030,2021,V,2045,2021,U,2024,N,,,N,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,1,,,1,,1,1,,,,
186,Taiwan Semiconductor Manufacturing, NZ,Industrial goods,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,undefined,Net Zero emissions,C,2050,2021,,,,U,Y,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
187,XMXYG,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,RTX, NZ,Aerospace and Defense,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,commercial aviation,Net Zero carbon emissions,C,2050,2021,,,,Y,V,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
189,Itau Unibanco Holding, NZ,Financial services,Latin America,N,,,N,,,,,,,,I,,,I,,,,,,,,V,"Scopes 1, 2 and 3",Net Zero,V,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
190,ArcelorMittal,CN NZ,Metals and mining,Europe,N,,,N,Removed,,,No,,01/02/2022,2022,C,Scope 1 and 2,Carbon Neutral ,C,2050,2020,,,,Y,,C,Scope 1 and 2,Net Zero,C,2050,2020,,,,Y,,,,1,1,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
191,General Electric,CN NZ,Industrial goods,North America,N,,,N,,,,,,,,C,facilities and operations,Carbon Neutral,C,2030,2020,,,,U,2022,V,"Scope 1, 2 and 3",Net Zero,V,2050,2020,,,,Y,,,1,,1,,,1,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1
192,Beijing Automotive Group,,Automotive,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Lockheed Martin,,Aerospace and defense,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Koc Holding,CN,Energy and utilities,Asia,N,,,N,,,,,,,,C,scope 1 and 2,carbon neutral,C,2050,2021,,,,U,,N,,,N,,,,,,,Y,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
195,American Express,CN NZ SBT RE100,Financial services,North America,Y,2020,2025,N,Committed,,2030,No,,01/09/2021,2021,C,"operations - scope 1, 2 and partial 3",carbon neutral,C,2018,2018,,,,Y,2023,V,undefined but SBTi approved,Net Zero,V,2035,2021,,,,U,,1,,,1,,,1,1,,1,,1,,1,,1,1,1,1,1,,1,1,1,1,,,1,1
196,Hitachi,CN SBT,Industrial goods,Asia,N,,,Y,Targets Set,1.5Â°C,2030,Yes,,01/12/2020,2020,"C, V","scope 1 and 2, value chain",Carbon Neutrality,C,2030,2020,V,2050,2020,Y,2023,N,,,N,,,,,,,,,1,,1,,,,,,1,,1,,,,,1,1,1,1,,1,,1,1,,,,
197,Roche Group, NZ,Health care and pharmaceuticals,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,C,scope 1 & 2 (own operations and purchased energies) ,achieve Net Zero,C,2050,2022,,,,N,V,,,,,,,1,1,,,,,,,,,1,,1,,1,1,,,1,,,,
198,Wilmar International, SBT,"Food, beverages and agriculture",Asia,N,,,N,Committed,,2030,Yes,,01/10/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,N,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
199,Caterpillar,,Industrial goods,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Banco Bilbao Vizcaya Argentaria,CN NZ SBT,Financial services,Europe,N,,,N,Committed,,2030,No,,01/01/2018,2018,C,scope 1 and 2,carbon neutral,C,2020,2020,,,,Y,2024,V,direct and indirect emissions,zero net emissions,V,2050,2021,,,,Y,,1,,,1,,,1,1,,1,,1,,,,,1,1,1,1,,1,1,1,1,,,1,1
201,Korea Electric Power,,Energy and utilities,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2050,2022,,,,U,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,MetLife,CN NZ SBT,Financial services,North America,N,,,N,Committed,,2030,No,,01/04/2016,2016,C,"global owned and leased offices, our global vehicle fleet (Scope 1 and 2 emissions) and employee business travel (Scope 3 Category 6).",carbon neutral,C,2016,2016,,,,Y,2023,C+F,global operations and General Account investment portfolio,Net Zero,C+F,2050,2022,,,,Y,,1,,,1,,,1,1,,1,,1,,,,,1,1,1,1,,1,1,1,1,,,1,1
203,AEON, NZ SBT RE100,Retail,Asia,Y,2018,2030,Y,Targets Set,1.5Â°C,2030,Yes,,01/08/2021,2021,N,,,N,,,,,,,,C,our stores,Net Zero,C,2040,2021,,,,Y,,,,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,,
204,Lloyds Banking Group, NZ RE100,Financial services,Europe,Y,2019,2020,N,,,,,,,,N,,,N,,,,,,,,"C, F",operations,Net Zero,C,2030,2021,F,2050,2021,Y,,,,,,,1,,1,,,,,1,,,1,1,1,1,1,,1,1,1,1,,,1,1
205,Deutsche Bank, NZ RE100,Financial services,Europe,Y,2022,2025,N,,,,,,,,N,,,N,,,,,,,,V,"(Scope 1 and 2); its Supplychain (Scope 3, Category 1–14); and emissions arising from financing its clients’ net-zero transition (Scope 3, Category 15).",Net Zero,V,2050,2021,,,,Y,,,,,,,,1,1,,,,,,1,,1,1,,1,1,,1,,1,1,,,1,1
206,China Vanke,,Real estate,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,HCA Healthcare, NZ,Health care and pharmaceuticals,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,scope 1 and 2,Net-Zero GHG emissions,C,2050,2023,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
208,Sumitomo Mitsui Financial Group, NZ,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,"C, F","groupwide operation, investment and loan portfolio",Net Zero emissions,C,2030,2020,F,2050,2020,Y,,,,,,,1,,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1
209,LG Electronics,CN SBT RE100,Industrial goods,Asia,Y,2023,2050,Y,Targets Set,1.5Â°C,2030,No,,01/06/2023,2023,C,scope 1 and 2,carbon neutral,C,2030,2019,,,,Y,2023,N,,,N,,,,,,,,,1,,1,,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,1,,,,
210,Unilever, NZ SBT RE100,Household and personal products,Europe,Y,2015,2030,Y,Targets Set,1.5Â°C,2030,No,,01/04/2024,2024,N,,,N,,,,,,,,V,value chain,Net Zero emissions,V,2039,2022,,,,N,,,,,,,,1,1,,1,,1,,1,,1,1,,1,,1,1,,1,1,,,1,1
211,Accenture, NZ SBT RE100,Financial services,Europe,Y,2019,2023,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/06/2024,2024,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2040,2020,,,,Y,,,,,,,,1,1,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,,,1,1
212,Barclays, NZ RE100,Financial services,Europe,Y,2019,2025,N,,,,,,,,N,,,N,,,,,,,,V,"scope 1, 2 and 3",Net Zero ,V,2050,2020,,,,U,,,,,,,,1,1,,,,,,1,,1,1,,1,,,1,,1,1,,,1,1
213,Jinneng Holding Group,,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Aluminum Corp. of China,,Metals and mining,Asia,N,,,N,,,,,,,,G,Scope 1 and 2,Carbon Neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Munich Re Group,CN NZ,Financial services,Europe,N,,,N,,,,,,,,C,operations,carbon neutral,C,2015,2015,,,,Y,2024,"C, F",financed emissions,Net-Zero emissions,C,2030,2020, F,2050,2020,Y,Y,1,,,1,,1,,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,1
216,Sberbank,CN,Financial services,Asia,N,,,N,,,,,,,,C,operations,climate neutral,C,2030,2022,,,,Y,2022,N,,,N,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,,
217,Banco do Brasil,CN SBT,Financial services,Latin America,N,,,N,Committed,,2030,Yes,,01/01/2021,2021,"C, F","scope 1 and 2, financed emissions (value chain)","offsetting 100% of GHG emissions, emissions neutrality",C,2030,2023, F,2050,2023,Y,2022,N,,,N,,,,,,,Y,,1,,1,,,,,,1,,1,,,,,1,1,1,1,,1,,1,1,,,,
218,Progressive,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,Scope 1 and 2,Carbon Neutral,C,2025,2021,,,,Y,2023,C,Scope 1 and 2,Net-Zero,C,2035,2021,,,,U,,,1,,1,,,1,1,,,,,,,,,1,1,1,1,,1,,1,1,,,,
219,IBM, NZ,Technology,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Reach Net-Zero operational GHG emissions by 2030,C,2030,2021,,,,Y,,,,,,,1,,1,,,,,,,,,1,1,1,1,,1,,1,1,,,,
220,Nippon Steel Corporation,CN,Metals and mining,Asia,N,,,N,,,,,,,,C,undefined,Carbon Neutral,C,2050,2021, ,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
221,Deere, SBT,Industrial goods,North America,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/10/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
222,Nvidia,,Technology,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,StoneX Group,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Zurich Insurance Group,CN NZ SBT RE100,Financial services,Europe,Y,2019,2022,N,Committed,,2030,No,,01/07/2019,2019,C,operations,carbon neutral,C,2014,2014,,,,Y,2023,"C, F","operations, investment portfolio",Net Zero,C,2030,2021,F,2050,2021,U,,1,,,1,,1,,1,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,,,1,1
225,Bouygues, SBT,Engineering and construction,Europe,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/02/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,V,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
226,Mizuho Financial Group,CN NZ,Financial services,Asia,N,,,N,,,,,,,,C,Scope 1 and 2 emissions ,Carbon neutral ,C,2030,2022,,,,N,2023,F,financed emissions,Net Zero,F,2050,2022,,,,N,,,1,,1,,,1,1,,,,,,,,,1,1,1,,1,1,,1,1,,,1,1
227,Daimler Truck Holding,CN,Automotive,Europe,N,,,N,,,,,,,,"C, V","production worldwide, entire value chain",carbon neutral on balance,C,2039,2021,V,2050,2021,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
228,ING Group,CN NZ SBT RE100,Financial services,Europe,Y,2015,2020,N,Committed,,2030,No,,01/06/2015,2015,C,operations,carbon neutral,C,2007,2007,,,,Y,2023,F,portfolio,Net Zero,F,2050,2021,,,,Y,,1,,,1,,,1,1,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,,,1,1
229,Merck,CN SBT,Health care and pharmaceuticals,North America,N,,,Y,Targets Set,1.5Â°C,2030,Yes,,01/09/2021,2021,"C, V","Scope 1 and 2, Scope 1, 2 and 3",carbon neutral operations,C,2025,2021,V,2040,2021,Y,2023,N,,,N,,,,,,,,,1,,1,,,,,,1,,1,,,,,1,1,1,1,,1,,1,1,,,,
230,Bunge, SBT,"Food, beverages and agriculture",North America,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/11/2021,2021,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
231,Anheuser-Busch InBev, NZ SBT RE100,"Food, beverages and agriculture",Europe,Y,2017,2025,Y,Targets Set,1.5°C,2025,Yes,,,2018,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2040,2021,,,,Y,,,,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,1,1
232,Industrial Bank,,Financial services,Asia,N,,,N,,,,,,,,G,undefined,Carbon Peaking and Carbon Neutrality,G,2060,2020,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,POSCO Holdings,CN,Metals and mining,Asia,N,,,N,,,,,,,,C,undefined,carbon neutral,C,2050,2021,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
234,Panasonic Holdings, NZ SBT RE100,Industrial goods,Asia,Y,2019,2050,Y,Targets Set,1.5Â°C,2030,Yes,,01/07/2023,2023,I,,,I,,,,,,,,"C, V","Scope 1 and 2, Scope 1, 2 and 3",Net Zero,C,2030,2021,V,2050,2021,Y,,,,,,,1,,1,,1,,1,,,1,1,1,1,1,1,,1,,1,1,,,1,1
235,ConocoPhillips, NZ,Metals and mining,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2050,2020,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
236,Pfizer,CN NZ SBT RE100,Health care and pharmaceuticals,North America,Y,2022,2030,Y,Targets Set,1.5Â°C,2025,No,,01/04/2021,2021,V,value chain,carbon neutral,V,2030,2020,,,,Y,2024,C,operational emissions,Net Zero,C,2040,2022,,,,U,,,1,,1,,,1,1,,1,,1,,1,,1,1,1,1,1,,1,,1,1,,,,
237,Delta Air Lines,CN NZ SBT,Transportation and Logistics,North America,N,,,Y,Targets Set,Well-below 2Â°C,2035,Yes,,01/09/2022,2022,C,global operations,carbon neutrality,C,2020,2020,,,,Y,2024,C,airline operations,Net Zero,C,2050,2021,,,,Y,,1,,,1,,,1,1,,,1,1,,,,,1,1,1,1,,1,1,1,1,,,,
238,China Huaneng Group,,Energy and utilities,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,China Energy Engineering Group,,Engineering and construction,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2022,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Dongfeng Motor,,Automotive,Asia,N,,,N,,,,,,,,G,group,carbon neutral,G,2060,2020,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,TD Synnex, NZ SBT,Retail,North America,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2045,01/05/2024,2024,N,,,N,,,,,,,,V,value chain,Net-Zero greenhouse gas emissions,V,2045,2021,,,,U,Y,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
242,Publix Super Markets,,Retail,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
