Rank,Company Name,Target summary,Sector (final classification),Region,RE100 (Y/N),Joining year,Target year,"SBT (Y = yes, N=no)",Target status - NT,Target classification NT - temp,"Target year NT (earlier of the two dates if there were two) - if committed, then year set to 2030",Net zero committed (SBTi),SBTi NZ approved year,Commitment date (SBTi),Commitment year (SBTi),"Carbon neutral commitment (C = company, V = value chain, G= Government, S = subsidiary, U = unspecified, x = less than 50% of rev, N=no)",Carbon neutral scope(s) (in their words) (+ indicates two targets/ a later target),Carbon neutral claim (in their words),Carbon neutral commitment - EARLY,Earlier carbon neutral target year,Earlier carbon neutral announcement year,Carbon neutral commitment - LATE,Later carbon neutral target year,Later carbon neutral announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear)",Souce Date,"Net zero commitment (V = value chain, C = company, S = subsidiary, U = unclear, x = less than 50% rev)",Primary net zero scope (in their words),Primary net zero claim (in their words),Net Zero Target - EARLY,Earlier net zero target year,Earlier net zero announcement year,Net Zero Target - LATE,Later net zero target year,Later net zero announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1","Reduction targets for Decarbonization (V = value chain, C = company)",CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - does the company have a voluntary CN or NZ target?,CN/NZ by 2030,CN/NZ by 2050,will use cabon credits,will NOT use carbon credits,any commitment,any commitment already achieved,any commitment by 2030,any commitment by 2050,NZ covering VC already achieved,NZ covering VC 2024-2030,NZ covering VC 2031-2050,Any NZ covering VC
243,Zhejiang Hengyi Group,,Chemicals,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Allstate, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2 emissions,Net Zero,C,2030,2022,,,,U,,,,,,,1,,1,,,,,,,,,1,1,1,,,1,,1,1,,,,
245,Assicurazioni Generali, NZ,Financial services,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,"C, F","operational activities, insurance portfolio",Net-Zero emissions,C,2040,2021, F,2050,2021,R,Y,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
246,Cisco Systems, NZ SBT RE100,Telecommunications and media,North America,Y,2023,2030,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/07/2022,2022,N,,,N,,,,,,,,V,value chain,Net Zero,V,2040,2021,,,,U,,,,,,,,1,1,,1,,1,,1,,1,1,,1,,,1,,1,1,,,1,1
247,Repsol, NZ,Oil and gas,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,C+F,activities and investments,Net Zero emissions,C+F,2050,2019,,,,Y,Y,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
248,Lenovo Group, NZ SBT,Technology,Asia,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/01/2023,2023,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2050,2023,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
249,HBIS Group,CN,Metals and mining,Asia,N,,,N,,,,,,,,C,undefined,Carbon Neutral,C,2050,2021, ,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
250,Contemporary Amperex Technology,CN,Automotive,Asia,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1, 2 and 3",Carbon Neutrality,C,2025,2023,V,2035,2023,U,2023,N,,,N,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,1,,,1,,1,1,,,,
251,Renault, NZ SBT,Automotive,Europe,N,,,Y,Targets Set,Well-below 2Â°C/2Â°C,2030,No,,01/03/2021,2021,I,,,I,,,,,,,,V,"scope 1, 2 and 3",Net Zero,V,2050,2021,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
252,Banco Bradesco,CN NZ,Financial services,Latin America,N,,,N,,,,,,,,C,"operations, scope 3 operational emissions",offset 100%/neutralized,C,2006,2006,C,2019,2019,Y,2024,C+F,operations and portfolios,Net Zero carbon emissions,C+F,2050,2021,,,,Y,,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,1
253,China Electronics Technology Group,,Aerospace and defense,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Nationwide,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,scope 1 and 2 emissions,carbon neutral,C,2020,2022,,,,Y,2023,V,"scopes 1, 2 and 3",Net Zero,V,2050,2021,,,,Y,,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,1
255,Charter Communications,CN,Telecommunications and media,North America,N,,,N,,,,,,,,C,operations,carbon neutral,C,2035,2020,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
256,State Power Investment,,Energy and utilities,Asia,N,,,N,,,,,,,,G,corporate,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Edeka Zentrale, NZ SBT,Retail,Europe,N,,,N,Committed,,2030,Yes,,01/02/2022,2022,N,,,N,,,,,,,,V,"Scope 1, 2 and 3","Net Zero, Upstream, Downstream, Electricity consumption",V,2045,2022,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
258,Bharat Petroleum, NZ,Oil and gas,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2040,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
259,AbbVie, NZ SBT,Health care and pharmaceuticals,North America,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/04/2023,2023,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero ,C,2050,2021,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
260,New York Life Insurance, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C+F,investments and operations,Net-Zero carbon emissions,C+F,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
261,Intel, NZ RE100,Industrial goods,North America,Y,2020,2030,N,,,,,,,,N,,,N,,,,,,,,C,scope 1 and 2,Net-Zero greenhouse gas emissions,C,2040,2022,,,,Y,Y,,,,,,,1,1,,,,,,1,,1,1,,1,1,,1,,1,1,,,,
262,TJX, NZ,Retail,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,scope 1 and 2,Net Zero GHG emissions,C,2040,2022,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
263,Novartis,CN NZ SBT RE100,Health care and pharmaceuticals,Europe,Y,2021,2025,Y,Targets Set,Well-below 2Â°C,2030,Yes,2040,01/05/2022,2022,V,"value chain (Scopes 1, 2 and 3)",carbon neutral,V,2030,2020,,,,U,2023,V,value chain,Net-Zero carbon emissions,V,2040,2020,,,,Y,,,1,,1,,,1,1,,1,,1,,1,,1,1,1,1,1,,1,,1,1,,,1,1
264,Rio Tinto Group, NZ,Metals and mining,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,C,operations,Net Zero emissions,C,2050,2020,,,,U,Y,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
265,Tsingshan Holding Group,,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Prudential Financial,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,Scope 1 and 2,Carbon Neutral,C,2040,2021,,,,R,2024,C,Scope 1 and 2,Net Zero,C,2050,2021,,,,R,,,,1,1,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
267,COSCO Shipping,CN NZ SBT,Transportation and logistics,Asia,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/01/2023,2023,C,Scope 1 and Scope 2,carbon neutrality ,C,2060,2022,,,,U,,V,SBTi approved so value chain,net zero,V,2050,2023,,,,U,,,,,1,,,1,1,,1,,1,,,,,1,,,,,1,,1,1,,,1,1
268,BHP Group, NZ,Metals and mining,Oceania,N,,,N,,,,,,,,N,,,N,,,,,,,,C,operations,Net-Zero,C,2050,2020,,,,Y,Y,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
269,HP,CN NZ SBT RE100,Technology,North America,Y,2016,2025,Y,Targets Set,1.5Â°C,2025,Yes,,01/08/2022,2022,C,operations,carbon neutral,C,2025,2021,,,,Y,2023,V,value chain,Net Zero,V,2040,2021,,,,Y,Y,,1,,1,,,1,1,,1,,1,,1,,1,1,1,1,1,,1,,1,1,,,1,1
270,United Airlines Holdings, NZ SBT,Transportation and logistics,North America,N,,,Y,Targets Set,Well-below 2Â°C,2035,No,,01/06/2023,2023,N,,,N,,,,,,,,V,"scope 1, 2 and 3",reduce 100% of emissions,V,2050,2020,,,,N,,,,,,,,1,1,,,1,1,,,,,1,,1,,1,1,,,1,,,1,1
271,Tata Motors, SBT RE100,Automotive,Asia,Y,2016,2030,N,Committed,,2030,No,,01/06/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,1,,1,1,,,,
272,Performance Food Group, NZ,Retail,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,V,"operational and value chain greenhouse gas
emissions",Net Zero,V,2050,2021,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
273,Iberdrola,CN NZ SBT,Energy and utilities,Europe,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2039,01/11/2022,2022,C,plants (scope 1 and 2),carbon neutral,C,2030,2022,,,,Y,2024,V,full value chain,Net Zero,V,2040,2022,,,,Y,,,1,,1,,,1,1,,1,,1,,,,,1,1,1,1,,1,,1,1,,,1,1
274,Deutsche Bahn,CN SBT,Transportation and logistics,Europe,N,,,Y,Targets Set,2Â°C,2030,Yes,,01/07/2020,2020,C,undefined,Climate Neutral,C,2040,2021,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,,,1,,1,1,,,,
275,Idemitsu Kosan,CN,Oil and gas,Asia,N,,,N,,,,,,,,C,undefined,Carbon Neutrality,C,2050,2020,,,,Y,,I,,,I,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
276,Tyson Foods, NZ SBT,"Food, beverages and agriculture",North America,N,,,Y,Targets Set,2Â°C,2030,No,,01/09/2018,2018,N,,,N,,,,,,,,V,"Scopes 1, 2 and 3",Net-Zero GHG emissions,V,2050,2021,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
277,Midea Group,,Industrial goods,Asia,N,,,N,,,,,,,,G,group,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,American Airlines Group, NZ SBT,Transportation and Logistics,North America,N,,,Y,Targets Set,Well-below 2Â°C,2035,No,,01/04/2022,2022,N,,,N,,,,,,,,C,undefined,Net Zero,C,2050,2020,,,,Y,,,,,,,,1,1,,,1,1,,,,,1,,1,1,,1,,,1,,,,
279,China United Network Communications,,Telecommunications and media,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Liberty Mutual Insurance Group,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Bank of Nova Scotia,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,banking alliance operations,carbon neutrality,C,2030,2022,,,,Y,2023,F,financed emissions,Net Zero,F,2050,2022,,,,R,,,1,,1,,,1,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1
282,Volvo,CN SBT,Automotive,Europe,N,,,Y,Targets Set,1.5Â°C/Well-below 2Â°C,2030,No,,01/09/2020,2020,C,company,Climate Neutral,C,2040,2020,,,,U,,I,,,I,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,,,1,,1,1,,,,
283,Intesa Sanpaolo,CN NZ SBT,Financial services,Europe,N,,,N,Committed,,2030,Yes,,01/03/2022,2022,C,own emissions,carbon neutral,C,2030,2021,,,,U,2024,C+F,own emissions + loans and investments portfolios,Net Zero,C+F,2050,2021,,,,U,,,1,,1,,,1,1,,1,,1,,,,,1,1,1,,,1,,1,1,,,1,1
284,Saint-Gobain,CN NZ SBT,Industrial goods,Europe,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/09/2022,2022,V,"scopes 1, 2 and 3",carbon neutrality,V,2050,2019,,,,U,,V,all scopes - sbt,Net Zero,V,2050,2022,,,,U,,,,1,1,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
285,Shaanxi Yanchang Petroleum (Group),,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Bayer,CN NZ SBT,Health care and pharmaceuticals,Europe,N,,,Y,Targets Set,1.5Â°C,2029,Yes,,01/08/2020,2020,C,operations,climate neutral,C,2030,2019,,,,Y,2023,V,entire value chain,Net Zero,V,2050,2023,,,,Y,,,1,,1,,,1,1,,1,,1,,,,,1,1,1,1,,1,,1,1,,,1,1
287,Tokio Marine Holdings,CN NZ,Financial services,Asia,N,,,N,Removed,,,No,,01/03/2018,2018,C,operations,Carbon Neutral,V,2009,2021,,,,Y,2023,C,own operations and investees,Net-Zero emissions,C,2050,2022,,,,U,,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,,
288,Nike, NZ SBT RE100,Household and personal products,North America,Y,2015,2025,Y,Targets Set,1.5Â°C,2030,No,,01/09/2019,2019,N,,,N,,,,,,,,V,"scopes 1,2,3",Net Zero,V,2050,2019,,,,Y,V,,,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,1,1
289,Maersk Group, NZ SBT,Transportation and logistics,Europe,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/02/2024,2024,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2040,2022,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
290,Phoenix Pharma, NZ,Retail,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2050,2023,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
291,Greenland Holding Group,,Real estate,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Shanghai Pudong Development Bank,,Financial services,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Louis Dreyfus,,"Food, beverages and agriculture",Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Bank of Montreal,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,operations,carbon neutrality,C,2010,2010,,,,Y,2023,F,financed emissions,Net Zero,F,2050,2021,,,,Y,,1,,,1,,,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,1
295,ZF Friedrichshafen,CN SBT,Automotive,Europe,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/02/2022,2022,V,all scopes,carbon neutral,V,2040,2022,,,,U,,I,,,I,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,,,1,,1,1,,,,
296,KB Financial Group, NZ SBT RE100,Financial services,Asia,Y,2021,2040,Y,Targets Set,1.5Â°C,2030,No,,01/10/2021,2021,N,,,N,,,,,,,,"C, F","Internal emissions, Financed emissions",Net Zero,C,2040,2023, F,2050,2023,Y,,,,,,,,1,1,,1,,1,,,1,1,1,,1,1,,1,,1,1,,,1,1
297,Sanofi,CN NZ SBT RE100,Health care and pharmaceuticals,Europe,Y,2020,2030,Y,Targets Set,1.5Â°C,2030,Yes,2045,01/03/2023,2023,C,operations and partial value chain,Carbon Neutral,C,2030,2021,,,,Y,2023,V,"Scope 1, 2 and 3",Net Zero,V,2045,2021,,,,Y,,,1,,1,,,1,1,,1,,1,,1,,1,1,1,1,1,,1,,1,1,,,1,1
298,Marubeni, NZ,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,V,"value chain (scope 1, 2 and investments)",Net Zero ghg emissions,V,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
299,Oracle, NZ,Technology,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C  ,undefined,Net Zero,C  ,2050,2021,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
300,Jinchuan Group,,Metals and mining,Asia,N,,,N,,,,,,,,G,undefined,Carbon Peaking and Carbon Neutrality ,G,2060,2023,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Swiss Re,CN NZ SBT RE100,Financial services,Europe,Y,2014,2020,N,Committed,,2030,Yes,,01/09/2019,2019,C,operational,Greenhouse Neutral ,C,2003,2003,,,,Y,2023,"C, F","operations, re/insurance business",ner-zero emissions,C,2030,2021,F,2050,2021,Y,,1,,,1,,1,,1,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,,,1,1
302,Chubb,,Financial services,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Enterprise Products Partners,,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Capital One Financial,CN RE100,Financial services,North America,Y,2018,2021,N,,,,,,,,C,Scope 1 and 2 emissions and business travel emissions in Scope 3,carbon neutral,C,2030,2017,,,,N,2023,N,,,N,,,,,,,,,1,,1,,,,,,,,,1,,,1,1,1,1,,1,1,1,1,1,,,,
305,Denso,CN SBT,Automotive,Asia,N,,,Y,Targets Set,1.5Â°C,2025,No,,01/08/2023,2023,C,Manufacturing activities,Carbon Neutrality,C,2026,2021,,,,Y,2023,N,,,N,,,,,,,,,1,,1,,,,,,1,,1,,,,,1,1,1,1,,1,,1,1,,,,
306,HDFC Bank,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,China National Building Material Group, NZ,Industrial goods,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,C,undefined,Net Zero,C,2050,2021,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
308,Veolia Environnement, NZ SBT,Energy and utilities,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2034,Yes,,01/12/2021,2021,N,,,N,,,,,,,,V,"scope 1, 2 and 3",Net Zero ,V,2050,2021,,,,Y,,,,,,,,1,1,,,1,1,,,,,1,,1,1,,1,,,1,,,1,1
309,China State Shipbuilding,,Transportation and logistics,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Vodafone Group, NZ SBT RE100,Telecommunications and media,Europe,Y,2018,2025,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/05/2024,2024,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1, 2 and 3",Net Zero,C,2030,2020,V,2045,2020,U,,,,,,,1,,1,,1,,1,,1,,1,1,1,1,,,1,,1,1,,,1,1
311,Plains GP Holdings,,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Landesbank Baden-Wurttemberg,CN NZ,Financial services,Europe,N,,,N,,,,,,,,C,business operations,carbon neutrality,C,2035,2020,,,,U,,V,value chain,Net Zero,V,2050,2021,,,,U,,,,1,1,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
313,EXOR Group,CN NZ,Financial services,Europe,N,,,N,,,,,,,,C,undefined,carbon neutrality,C,2022,2021,,,,Y,2024,C,undefined,Net Zero emissions,C,2025,2021,,,,Y,,1,,,1,,1,,1,,,,,,,,,1,1,1,1,,1,1,1,1,,,,
314,Jingye Group,,Metals and mining,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,UniCredit Group, NZ,Financial services,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,"C, F",portfolio,Net Zero,C,2030,2021,F,2050,2021,Y,,,,,,,1,,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1
316,Energie Baden-Wurttemberg,CN SBT,Energy and utilities,Europe,N,,,Y,Targets Set,1.5°C,2035,No,,,2023,C,Scope 1 and 2,Climate Neutral,C,2035,2020,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,1,1,,,,,1,,1,1,,1,,,1,,,,
317,Tokyo Electric Power,CN NZ,Energy and utilities,Asia,N,,,N,,,,,,,,C,supply of energy,Carbon Neutral,C,2050,2021,,,,U,,C,supply of energy,Net Zero,C,2050,2019,,,,Y,,,,1,1,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
318,Sumitomo,CN,Financial services,Asia,N,,,N,,,,,,,,V,"scope 1, 2 and 3",carbon neutrality,V,2050,2021,,,,Y,,I,,,I,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
319,World Kinect,,Energy and utilities,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Orange, NZ SBT,Telecommunications and media,Europe,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/06/2024,2024,N,,,N,,,,,,,,V,"scope 1 , 2 and 3",Net Zero carbon,V,2040,2019,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
321,HD Hyundai,,Oil and gas,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Ingka Group,CN NZ SBT RE100,Retail,Europe,Y,2014,2025,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/06/2024,2024,V,value chain,climate positive,V,2030,2021,,,,N,2023,V,"scope 1, 2 and 3 emissions",Net-Zero,V,2050,2015,,,,N,,,1,,1,,,1,1,,1,,1,,1,,1,1,1,1,,1,1,,1,1,,,1,1
323,ANZ Group Holdings, NZ RE100,Financial services,Oceania,Y,2019,2025,N,,,,,,,,N,,,N,,,,,,,,C,scope 1 and 290& reduction and financed emissions,Net Zero,C,2050,2021,,,,U,,,,,,,,1,1,,,,,,1,,1,1,,1,,,1,,1,1,,,,
