Rank,Company Name,Target summary,Sector (final classification),Region,RE100 (Y/N),Joining year,Target year,"SBT (Y = yes, N=no)",Target status - NT,Target classification NT - temp,"Target year NT (earlier of the two dates if there were two) - if committed, then year set to 2030",Net zero committed (SBTi),SBTi NZ approved year,Commitment date (SBTi),Commitment year (SBTi),"Carbon neutral commitment (C = company, V = value chain, G= Government, S = subsidiary, U = unspecified, x = less than 50% of rev, N=no)",Carbon neutral scope(s) (in their words) (+ indicates two targets/ a later target),Carbon neutral claim (in their words),Carbon neutral commitment - EARLY,Earlier carbon neutral target year,Earlier carbon neutral announcement year,Carbon neutral commitment - LATE,Later carbon neutral target year,Later carbon neutral announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear)",Souce Date,"Net zero commitment (V = value chain, C = company, S = subsidiary, U = unclear, x = less than 50% rev)",Primary net zero scope (in their words),Primary net zero claim (in their words),Net Zero Target - EARLY,Earlier net zero target year,Earlier net zero announcement year,Net Zero Target - LATE,Later net zero target year,Later net zero announcement year,"Carbon credits (Y = yes, N = no, R = removals only, U = unclear).1","Reduction targets for Decarbonization (V = value chain, C = company)",CN already achieved ,CN 2024-2030,CN 2031-2050,Any CN,NZ already achieved,NZ 2024-2030,NZ 2031-2050,Any NZ,SBT already achieved,SBT 2024-2030,SBT 2031-2050,Any SBT,RE100 already achieved,RE100 2024-2030,RE100 2031-2050,Any RE100,CN/NZ - does the company have a voluntary CN or NZ target?,CN/NZ by 2030,CN/NZ by 2050,will use cabon credits,will NOT use carbon credits,any commitment,any commitment already achieved,any commitment by 2030,any commitment by 2050,NZ covering VC already achieved,NZ covering VC 2024-2030,NZ covering VC 2031-2050,Any NZ covering VC
324,AIG, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C+F,operations and underwriting and investments portfolios,Net Zero GHG emissions,C+F,2050,2022,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
325,SoftBank Group,CN NZ SBT RE100,Telecommunications and media,Asia,Y,2024,2040,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/06/2024,2024,C,Scope 1 and 2,Carbon Neutral,C,2030,2020,,,,Y,2023,V,"Scope 1, 2 and 3",Net Zero,V,2050,2023,,,,U,,,1,,1,,,1,1,,1,,1,,,1,1,1,1,1,1,,1,,1,1,,,1,1
326,Sinomach,,Industrial goods,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Talanx,CN NZ,Financial services,Europe,N,,,N,,,,,,,,V,"scope 1, 2 and 3",carbon neutral,V,2030,2019,,,,Y,2023,"C, F","global operations, underwriting and investments",Net Zero emissions,C,2030,2022,F,2050,2022,Y,,,1,,1,,1,,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1
328,America Movil, SBT,Telecommunications and media,North America,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/08/2020,2020,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
329,AstraZeneca, NZ SBT RE100,Health care and pharmaceuticals,Europe,Y,2016,2025,Y,Targets Set,1.5Â°C,2026,Yes,2045,01/10/2021,2021,N,,,N,,,,,,,,V,"value chain (Scopes 1, 2 and 3)",Net Zero,V,2045,2020,,,,Y,,,,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,1,1
330,Zhejiang Communications Investment Group,,Transportation and logistics,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,China Pacific Insurance (Group),,Financial services,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Coca-Cola, NZ SBT,"Food, beverages and agriculture",North America,N,,,Y,Targets Set,2Â°C,2030,No,,01/09/2019,2019,N,,,N,,,,,,,,V,"Scopes 1, 2 and 3",Net Zero emissions,V,2050,2021,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
333,TIAA, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1,2 and 3",Net Zero,C,2040,2021,V,2050,2021,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
334,Caixa Economica Federal,,Financial services,Latin America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,CHS,,"Food, beverages and agriculture",North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,China Huadian,,Energy and utilities,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Credit Mutuel Group, NZ,Financial services,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,F,bank portfolio-related emissions ,Net Zero,F,2050,2021,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
338,MS&AD Insurance Group Holdings, NZ,Financial services,Asia,N,,,N,Removed,,,No,,01/04/2016,2016,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2050,2021,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,1,1
339,Hyundai Mobis, NZ SBT RE100,Automotive,Asia,Y,2022,2040,N,Committed,,2030,Yes,,01/10/2021,2021,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1, 2 and 2",Net Zero,C,2040,2021,V,2045,2021,Y,,,,,,,,1,1,,1,,1,,,1,1,1,,1,1,,1,,1,1,,,1,1
340,Susun Construction Group,,Engineering and construction,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,SNCF Group,CN NZ,Transportation and logistics,Europe,N,,,N,,,,,,,,C,undefined,zero emissions,C,2035,2019,,,,U,,C,direct emissions,Zero Direct Carbon Emissions,C,2050,2024,,,,U,,,,1,1,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
342,Bristol-Myers Squibb, NZ SBT,Health care and pharmaceuticals,North America,N,,,Y,Targets Set,1.5°C,2028,Yes,2050,01/07/2024,2024,N,,,N,,,,,,,,V,"Scopes 1, 2 and 3 ",Net-Zero emission,V,2050,2024,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
343,China South Industries Group,,Aerospace and defense,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Continental,CN SBT RE100,Automotive,Europe,Y,2020,2040,Y,Targets Set,1.5Â°C,2030,No,,01/12/2020,2020,V,"value chain (products, operations and supply)",carbon neutral,V,2040,2020,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,1,1,1,,1,1,,1,,1,1,,,,
345,Raizen,,Oil and gas,Latin America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Dow,CN,Chemicals,North America,N,,,N,,,,,,,,V,Scopes 1+2+3 plus product benefits,Carbon Neutral,V,2050,2021,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
347,George Weston, NZ,Retail,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,"C, V","scope 1 and 2, scope 3",Net Zero carbon emissions,C,2040,2021,V,2050,2021,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
348,L'Oreal,CN NZ SBT,Household and personal products,Europe,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/05/2024,2024,C,Scope 1 and 2,carbon neutral,C,2025,2018,,,,N,2023,V,"Scope 1, 2 and 3",Net Zero,V,2050,2020,,,,U,,,1,,1,,,1,1,,1,,1,,,,,1,1,1,,1,1,,1,1,,,1,1
349,Fomento Economico Mexicano,,"Food, beverages and agriculture",North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Telefonica,CN NZ SBT RE100,Telecommunications and media,Europe,Y,2017,2030,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/08/2022,2022,V,value chain,net zero emissions,V,2040,2023,,,,Y,,V,all scopes - sbt,Net Zero,V,2040,2022,,,,U,,,,1,1,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,1,1
351,China Minsheng Banking,,Financial services,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Best Buy,CN NZ SBT,Retail,North America,N,,,Y,Targets Set,1.5Â°C,2030,No,,01/07/2019,2019,C,operational carbon usage,carbon neutrality,C,2040,2019,,,,Y,,C,our business,Net-Zero annual carbon emissions by 2040,C,2040,2020,,,,Y,,,,1,1,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
353,Woolworths Group, NZ SBT RE100,Retail,Oceania,Y,2020,2025,Y,Targets Set,1.5Â°C,2030,Yes,,01/09/2020,2020,N,,,N,,,,,,,,C,scope 1 and 2 emissions,net positive carbon emissions,C,2050,2020,,,,Y,,,,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,,
354,Shanghai Construction Group,,Engineering and construction,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,LG Chem,CN NZ,Chemicals,Asia,N,,,N,Removed,,,No,,01/06/2022,2022,C,undefined,carbon growth,C,2030,2020,,,,U,2023,C,Scope 1 and 2,Net Zero,C,2050,2022,,,,Y,,,1,,1,,,1,1,,,,,,,,,1,1,1,1,,1,,1,1,,,,
356,Thermo Fisher Scientific, NZ SBT,Industrial goods,North America,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/04/2023,2023,N,,,N,,,,,,,,V,value chain ,Net-Zero,V,2050,2021,,,,Y,,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,1,1
357,Magna International, NZ SBT,Automotive,North America,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/04/2024,2024,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2050,2023,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
358,OMV Group, NZ,Oil and gas,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,V,"Scopes 1, 2, and 3 ",Net Zero greenhouse gas (GHG) emissions,V,2050,2024,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
359,Massachusetts Mutual Life Insurance, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,"C, F","operations, GIA",Net Zero,C,2030,2021,F,2050,2021,U,,,,,,,1,,1,,,,,,,,,1,1,1,,,1,,1,1,,,1,1
360,USAA,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Guangzhou Municipal Construction Group,,Engineering and construction,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,General Dynamics,CN,Aerospace and defense,North America,N,,,N,,,,,,,,C,companywide,carbon neutral,C,2060,2024,,,,U,,N,,,N,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,
363,Vale, NZ,Metals and mining,Latin America,N,,,N,Removed,,,No,,01/12/2019,2019,N,,,N,,,,,,,,C,undefined,Net Zero,C,2050,2021,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
364,Zijin Mining Group,CN,Metals and mining,Asia,N,,,N,,,,,,,,V,value chain,carbon neutral,V,2050,2023,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
365,Travelers,CN,Financial services,North America,N,,,N,,,,,,,,C,owned operations,carbon neutral,C,2030,2021,,,,Y,2023,N,,,N,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,,
366,Warner Bros. Discovery,,Telecommunications and media,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Canadian Imperial Bank of Commerce,CN NZ,Financial services,North America,N,,,N,,,,,,,,C,operations,carbon neutrality,C,2024,2021,,,,Y,2023,C+F,operational and financing activities,Net Zero,C+F,2050,2021,,,,Y,,,1,,1,,,1,1,,,,,,,,,1,1,1,1,,1,,1,1,,,1,1
368,LyondellBasell Industries, NZ SBT,Chemicals,Europe,N,,,N,Committed,,2030,No,,01/02/2023,2023,N,,,N,,,,,,,,C,scope 1 and 2,Net Zero emissions,C,2050,2021,,,,Y,Y,,,,,,,1,1,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
369,J. Sainsbury, NZ SBT,Retail,Europe,N,,,Y,Targets Set,1.5°C,2030,Yes,2050,,2024,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1,2 and 3",Net Zero,C,2035,2020,V,2050,2021,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
370,Shenzhen Investment Holdings,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Ansteel Group,,Metals and mining,Asia,N,,,N,,,,,,,,G,organization,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Hanwha, NZ,Financial services,Asia,N,,,N,,,,,,,,I,,,I,,,,,,,,C,Scope 1 and 2,Net Zero,C,2050,2022,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
373,U.S. Bancorp, NZ,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,across enterprise,Net Zero,C,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,,
374,Lufthansa Group,CN SBT,Transportation and logistics,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/08/2022,2022,C, flight operations,carbon neutraliy,C,2050,2023,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,1,,1,,1,1,,,,
375,Pegatron, NZ SBT,Industrial goods,Asia,N,,,N,Committed,,2030,Yes,,01/02/2022,2022,N,,,N,,,,,,,,C,undefined,Net Zero,C,2050,2022,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,,
376,Abbott Laboratories, SBT,Health care and pharmaceuticals,North America,N,,,Y,Targets Set,Well-below 2Â°C,2030,No,,01/09/2022,2022,N,,,N,,,,,,,,N,,,N,,,,,,,C,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
377,ThyssenKrupp,CN SBT,Metals and mining,Europe,N,,,Y,Targets Set,Well-below 2Â°C,2030,Yes,,01/08/2019,2019,C,Scope 1 and 2,climate neutral,C,2050,2019,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,1,,1,,,,,1,,1,,,1,,1,1,,,,
378,New Hope Holding Group,,"Food, beverages and agriculture",Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,KDDI,CN SBT RE100,Telecommunications and media,Asia,Y,2023,2050,Y,Targets Set,1.5Â°C,2030,No,,01/04/2022,2022,"C, V","Scope 1 and 2, Scope 1, 2 and 3",carbon neutral,C,2030,2020,V,2050,2020,Y,2023,I,,,I,,,,,,,,,1,,1,,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,1,,,,
380,China National Nuclear,,Energy and utilities,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2020,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Taikang Insurance Group,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Northrop Grumman, NZ,Aerospace and defense,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,Scope 1 and 2,Net Zero,C,2035,2022,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
383,Jiangsu Shagang Group,,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Meituan,,Retail,Asia,N,,,N,,,,,,,,G,undefined,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Chery Holding Group,,Automotive,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Inditex, NZ SBT,Retail,Europe,N,,,Y,Targets Set,1.5Â°C,2030,Yes,,01/08/2020,2020,N,,,N,,,,,,,,V,"scope 1, 2 and 3 emissions",Net-Zero ,V,2040,2023,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
387,Schneider Electric,CN NZ SBT RE100,Industrial goods,Europe,Y,2017,2030,Y,Targets Set,1.5Â°C,2030,Yes,2050,01/09/2019,2019,"C, V","operations, value chain",carbon neutral,C,2025,2019,V,2040,2019,Y,2023,V,value chain,Net Zero,V,2050,2019,,,,Y,,,1,,1,,,1,1,,1,,1,,1,,1,1,1,1,1,,1,,1,1,,,1,1
388,Northwestern Mutual,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Dollar General,,Retail,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Cenovus Energy, NZ,Metals and mining,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,C,operations,Net Zero emissions,C,2050,2020,,,,U,Y,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
391,ACS,CN,Engineering and construction,Europe,N,,,N,,,,,,,,C,scope 1 and 2 emissions,climate neutral,C,2045,2021,,,,U,2024,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
392,Coop Group, NZ,Retail,Europe,N,,,N,,,,,,,,N,,,N,,,,,,,,C,undefined,Net Zero,C,2050,2022,,,,U,,,,,,,,1,1,,,,,,,,,1,,1,,,1,,,1,,,,
393,Fairfax Financial Holdings,,Financial services,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Guangzhou Industrial Investment Holdings,,Industrial goods,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,PBF Energy,CN,Oil and gas,North America,N,,,N,,,,,,,,V,entire products life cycle,carbon neutrality by 2050,V,2050,2023,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
396,Standard Chartered, NZ RE100,Financial services,Europe,Y,2022,2040,N,Removed,,,No,,01/07/2018,2018,N,,,N,,,,,,,,C+F,Operations and Finannced emissions,Net Zero,C+F,2050,2021,,,,Y,,,,,,,,1,1,,,,,,,1,1,1,,1,1,,1,,,1,,,1,1
397,Xiaomi,CN,Industrial goods,Asia,N,,,N,,,,,,,,C  ,undefined,Carbon neutral,C  ,2040,2023,,,,Y,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
398,Compass Group,CN NZ SBT,"Food, beverages and agriculture",Europe,N,,,Y,Targets Set,1.5°C,2030,No,,21/10/2021,2021,C,operations (scope 1 & 2),carbon neutrality,C,2030,2021,,,,Y,2023,V,global operations and value chain,Climate Net Zero,V,2050,2021,,,,Y,,,1,,1,,,1,1,,1,,1,,,,,1,1,1,1,,1,,1,1,,,1,1
399,Meiji Yasuda Life Insurance, NZ,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,V,"Scope 1, 2 and 3",Net Zero,V,2050,2022,,,,Y,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,,,1,,,1,1
400,GSK, NZ SBT RE100,Health care and pharmaceuticals,Europe,Y,2020,2030,Y,Targets Set,1.5Â°C,2030,Yes,2045,01/11/2023,2023,N,,,N,,,,,,,,V, across our full value chain ,Net Zero greenhouse gas emissions,V,2045,2020,,,,Y,,,,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,,1,1,,,1,1
401,Suncor Energy,,Oil and gas,North America,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Hangzhou Industrial Investment Group,,Financial services,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Uber Technologies, NZ SBT,Technology,North America,N,,,Y,Targets Set,1.5Â°C,2030,Yes,2040,01/04/2023,2023,N,,,N,,,,,,,,"C, V","Scope 1 and 2, Scope 1, 2 and 3",Net Zero,C,2030,2020,V,2040,2020,U,,,,,,,1,,1,,1,,1,,,,,1,1,1,,,1,,1,1,,,1,1
404,DZ Bank,CN,Financial services,Europe,N,,,N,,,,,,,,C,group,climate-neutral,C,2050,2022,,,,Y,2023,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,,,
405,GS Caltex,,Oil and gas,Asia,N,,,N,,,,,,,,G,Scope 1 and 2,carbon neutrality,G,2050,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Suzuki Motor,CN,Automotive,Asia,N,,,N,,,,,,,,C,operations,carbon neutrality,C,2050,2023,,,,U,,N,,,N,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,
407,Haier Smart Home,,Industrial goods,Asia,N,,,N,,,,,,,,G,undefined,carbon neutrality,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,X5 Retail Group, SBT,Retail,Asia,N,,,N,Committed,,2030,No,,01/11/2020,2020,N,,,N,,,,,,,,N,,,N,,,,,,,C,,,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,
409,La Poste, NZ SBT,Transportation and logistics,Europe,N,,,Y,Targets Set,1.5°C,2027,Yes,2040,01/04/2024,2024,N,,,N,,,,,,,,V,SBTi approved so value chain,Net Zero,V,2040,2024,,,,U,,,,,,,,1,1,,1,,1,,,,,1,,1,,,1,,1,1,,,1,1
410,Hangzhou Iron and Steel Group,,Metals and mining,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Shanghai Pharmaceuticals Holding,,Retail,Asia,N,,,N,,,,,,,,G,operations,carbon neutral,G,2060,2021,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Shandong Hi-Speed Group,,Transportation and logistics,Asia,N,,,N,,,,,,,,N,,,N,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
